,chq,faq
166,"   What is the diagnosis for this rash that looks like impetigo, comes every April and May? Exanthema Impetigo ",   How should I treat polymenorrhea in a 14-year-old girl?
167,   This woman has Herpes zoster on her chest.  Which dermatome is it? Herpes Zoster ,   This woman has Herpes zoster on her chest.  Which dermatome is it?
168,   This woman has Herpes zoster on her chest.  Which dermatome is it? Herpes Zoster ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
169,"   This woman takes Premarin 0.625 milligrams for osteoporosis prophylaxis but she got sore breasts.  Is there a smaller size Premarin like 0.3 milligrams? Pressure Ulcer Osteoporosis Fractures, Bone ",   Patient got sore breasts from Premarin 0.625 milligrams.  Is there a smaller pill?
170,"   This woman takes Premarin 0.625 milligrams for osteoporosis prophylaxis but she got sore breasts.  Is there a smaller size Premarin like 0.3 milligrams? Pressure Ulcer Osteoporosis Fractures, Bone ",   What is the other drug besides Famvir and acyclovir for Herpes Zoster?
171,"   A woman with bad acne, status post bilateral tubal ligation is on Accutane.  Dermatologist put her on oral contraceptive too.  Why? Acne Vulgaris ",   Patient status post bilateral tubal ligation on Accutane for acne.  Dermatologist put her on oral contraceptives too.  Why?
172,"   A woman with bad acne, status post bilateral tubal ligation is on Accutane.  Dermatologist put her on oral contraceptive too.  Why? Acne Vulgaris ",   What antibiotic should I use for this diabetic patient's infected foot ulcer?
173,   An old man went for eye surgery to have a cataract removed.  I did a physical exam for this.  I could not see the disk and could not test the ophthalmic nerve.  Which cranial nerve number is the ophthalmic nerve so I can dictate that I could not test it. Cataract ,   Did pre-cataract physical exam. Which cranial nerve number is the ophthalmic nerve?
174,   An old man went for eye surgery to have a cataract removed.  I did a physical exam for this.  I could not see the disk and could not test the ophthalmic nerve.  Which cranial nerve number is the ophthalmic nerve so I can dictate that I could not test it. Cataract ,   How should I treat polymenorrhea in a 14-year-old girl?
175,"   His nurse's daughter had a tumor on her knee (distal femur).  It was increasing in size but looked like a benign osteochondroma.  Is it an osteochondroma even though increasing in size? Carcinoma, Hepatocellular Liver Neoplasms ","   Patient with enlarging tumor distal femur, looks like osteochondroma.  Is it?"
176,   The local pharmacist had a malignant melanoma.  When the pathology report came back I needed to look up the classification system for depth of involvement. Melanoma ,"   Patient with malignant melanoma; on pathology report, how to interpret Clark levels?"
177,   The local pharmacist had a malignant melanoma.  When the pathology report came back I needed to look up the classification system for depth of involvement. Melanoma ,   How should I treat polymenorrhea in a 14-year-old girl?
178,"   A man had a tumor on his tongue.  I did not know what it was so I referred him to an otolaryngologist.  The question was ""What is this tumor on the tongue?"" Carcinoma, Hepatocellular Liver Neoplasms ",   What is this tumor on his tongue?
179,"   A man had a tumor on his tongue.  I did not know what it was so I referred him to an otolaryngologist.  The question was ""What is this tumor on the tongue?"" Carcinoma, Hepatocellular Liver Neoplasms ","   72-year-old woman, chronic lymphocytic leukemia. How should I treat her?"
180,   What are the Supplemental Security Income (SSI) criteria for disability? Poliomyelitis Poliomyelitis Developmental Disabilities ,   What are the Supplemental Security Income (SSI) criteria for disability?
181,   Should a gestational diabetic have any antenatal fetal well-being testing done? Pregnancy in Diabetics ,   Should a gestational diabetic have any antenatal fetal well-being testing done?
182,   Should a gestational diabetic have any antenatal fetal well-being testing done? Pregnancy in Diabetics ,   Let's give these immunizations.  That's right isn't it?
183,   What is the optimal treatment for depression during pregnancy?  (this patient was on Paxil) Depression Depressive Disorder ,   What is optimal treatment for depression in pregnancy? (now on Paxil)
184,   What is the optimal treatment for depression during pregnancy?  (this patient was on Paxil) Depression Depressive Disorder ,"   After starting treatment for streptococcal sore throat, how long to stay out of work or school?"
185,   Is it really safe to use Paxil during the first trimester of pregnancy.  I think it is but I want to confirm that it is. ,   Is it safe to use Paxil during the first trimester of pregnancy?
186,   Is it really safe to use Paxil during the first trimester of pregnancy.  I think it is but I want to confirm that it is. ,   How should I workup this baby with a single umbilical artery?
187,"   What is the common serum marker for ovarian cancer?  I want to say carcinoembryonic antigen (CEA) but that's for colon cancer.  I just don't remember. Ovarian Neoplasms Carcinoma, Ovarian Epithelial Ovarian Cancer Ovarian Epithelial Cancer Colonic Neoplasms ",   What is the serum marker for ovarian cancer?
188,"   What is the common serum marker for ovarian cancer?  I want to say carcinoembryonic antigen (CEA) but that's for colon cancer.  I just don't remember. Ovarian Neoplasms Carcinoma, Ovarian Epithelial Ovarian Cancer Ovarian Epithelial Cancer Colonic Neoplasms ",   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
189,"   Why does he have eye pain and blurred vision (referred to ophthalmologist)? Pain, Postoperative Keratoconus Keratoconus ",   Why does he have eye pain and blurred vision?
190,"   Why does he have eye pain and blurred vision (referred to ophthalmologist)? Pain, Postoperative Keratoconus Keratoconus ",   What is causing his fatigue?  I think it's viral but not sure.
191,   What is the dose of Imodium? ,   What is the dose of Imodium?
192,   What drugs are folic acid antagonists? ,   What drugs are folic acid antagonists?
193,   Would Vitamin B12 help this patient feel better (on chemotherapy for breast cancer)? Breast Neoplasms ,   Would vitamin B12 help this patient feel better (on chemotherapy for breast cancer)?
194,   Would Vitamin B12 help this patient feel better (on chemotherapy for breast cancer)? Breast Neoplasms ,   Let's give these immunizations.  That's right isn't it?
195,   What is the dose of oral Lamisil? ,   What is the dose of oral Lamisil?
196,   Which dose of Premarin is green? ,   Which dose of Premarin is green?
197,   Which dose of Premarin is green? ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
198,   How should I treat this patient with seizures? Seizures Brain Diseases ,   How should I treat this patient with seizures?
199,   How should I treat this patient with seizures? Seizures Brain Diseases ,   What is the dose of Famvir?
200,"   Are her symptoms (sweating, feeling of being stimulated, nervous) due to Paxil? ","   Are her symptoms (sweating, feeling of being stimulated, nervous) due to Paxil?"
201,"   Are her symptoms (sweating, feeling of being stimulated, nervous) due to Paxil? ",   How should I treat polymenorrhea in a 14-year-old girl?
202,"   Does this patient with a 3-week-old fracture of the distal head of the fifth metatarsal need any treatment? Periprosthetic Fractures Fractures, Bone Femoral Fractures ","   Patient with 3-week-old fracture of distal head fifth metatarsal, need any treatment?"
203,"   Does this patient with a 3-week-old fracture of the distal head of the fifth metatarsal need any treatment? Periprosthetic Fractures Fractures, Bone Femoral Fractures ",   What is the dose of Famvir?
204,"   This woman called about her husband who was seen in the emergency room because of confusion and dementia.  Should I get a head computerized tomography (CT) now since he is improving, or wait and run the risk of missing a brain tumor? Confusion Consciousness Disorders Carcinoma, Hepatocellular Liver Neoplasms Dementia ","   Patient with confusion and dementia in emergency room, now better. Get head computerized tomography (CT) now or observe?"
